City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,katsuura,35.1333,140.3,6.01,74,89,6.15,JP,1707245799
116,as sulayyil,20.4607,45.5779,20.14,43,98,5.31,SA,1707245799
117,brainerd,46.358,-94.2008,4.44,74,0,2.57,US,1707245800
118,georgetown,5.4112,100.3354,27.97,83,40,2.24,MY,1707245755
119,enewetak,11.3474,162.3373,26.39,81,47,7.6,MH,1707245802
120,ntoum,0.3833,9.7833,28.87,89,99,2.08,GA,1707245802
121,cabo san lucas,22.8909,-109.9124,28.12,60,62,0.45,MX,1707245702
122,padang,-0.9492,100.3543,26.03,89,88,1.42,ID,1707245688
123,pangody,65.85,74.4859,-18.42,100,90,2.42,RU,1707245804
124,kerikeri,-35.2268,173.9474,14.95,92,14,1.33,NZ,1707245764
125,marsa alam,25.0757,34.8918,18.57,60,0,6.07,EG,1707245805
126,neuffen,48.5546,9.3755,7.16,74,0,5.14,DE,1707245806
127,kangasala,61.4638,24.076,-11.59,99,92,1.71,FI,1707245807
128,labrador city,52.9463,-66.9114,-8.05,49,20,0.0,CA,1707245807
129,punta arenas,-53.15,-70.9167,19.01,51,0,6.69,CL,1707245808
130,coquimbo,-29.9533,-71.3436,22.85,68,0,6.69,CL,1707245760
131,constantia,44.1833,28.65,9.38,58,87,5.81,RO,1707245645
132,qaqortoq,60.7167,-46.0333,-15.18,62,0,3.89,GL,1707245810
133,muleshoe,34.2265,-102.7238,13.16,38,99,6.15,US,1707245810
134,oyem,1.5995,11.5793,25.31,35,44,0.6,GA,1707245816
135,lufilufi,-13.8745,-171.5986,25.44,81,43,5.31,WS,1707245816
136,crucecita,-28.95,-58.9833,37.19,34,34,4.96,AR,1707245817
137,olonkinbyen,70.9221,-8.7187,-1.4,87,52,8.78,SJ,1707245767
138,fortaleza,-3.7227,-38.5247,31.07,66,75,8.75,BR,1707245818
139,nova vicosa,-17.8919,-39.3719,28.95,68,47,5.46,BR,1707245819
140,atbasar,51.8,68.3333,-2.28,88,100,6.85,KZ,1707245820
141,puerto wilches,7.3483,-73.896,34.31,55,31,1.29,CO,1707245821
142,lompoc,34.6391,-120.4579,13.77,62,75,2.68,US,1707245821
143,lorengau,-2.0226,147.2712,27.86,82,100,6.74,PG,1707245822
144,iqaluit,63.7506,-68.5145,-8.15,72,75,7.72,CA,1707245823
145,umm kaddadah,13.6017,26.6876,18.4,20,6,6.76,SD,1707245823
146,oranjemund,-28.55,16.4333,20.1,86,9,3.2,NA,1707245824
147,kenai,60.5544,-151.2583,-9.97,92,75,1.54,US,1707245825
148,hermanus,-34.4187,19.2345,22.67,78,97,7.52,ZA,1707245825
149,taro,-8.3862,115.28,23.0,93,99,0.52,ID,1707245826
150,macas,-2.3167,-78.1167,25.86,78,75,1.54,EC,1707245827
151,wailua homesteads,22.0669,-159.378,22.44,75,100,8.75,US,1707245708
152,kegeyli shahar,42.7767,59.6078,6.05,65,100,9.41,UZ,1707245828
153,saudarkrokur,65.7461,-19.6394,-1.31,83,100,10.94,IS,1707245828
154,tazovsky,67.4667,78.7,-13.74,94,100,4.71,RU,1707245829
155,horta,38.5333,-28.6333,17.8,97,100,11.18,PT,1707245830
156,praia da vitoria,38.7333,-27.0667,19.14,82,40,8.59,PT,1707245831
157,trelleborg,55.3751,13.1569,6.41,94,100,10.51,SE,1707245832
158,puerto aysen,-45.4,-72.7,14.62,97,100,1.83,CL,1707245832
159,murakami,38.2333,139.4833,-0.06,94,100,1.07,JP,1707245833
160,san jose del cabo,23.0589,-109.6977,28.76,48,100,3.13,MX,1707245834
161,liwale,-9.7667,37.9333,22.81,97,94,1.25,TZ,1707245834
162,luanda,-8.8368,13.2343,27.0,83,75,1.54,AO,1707245835
163,kiknur,57.3034,47.2011,-14.1,93,100,5.26,RU,1707245836
164,lata,40.1629,-8.3327,14.9,89,53,0.67,PT,1707245836
165,island harbour,50.724,-1.2758,13.04,90,100,7.15,GB,1707245837
166,college,64.8569,-147.8028,-16.72,79,75,2.06,US,1707245838
167,murun-kuren,49.6342,100.1625,-20.87,93,90,0.71,MN,1707245839
168,iskateley,67.6803,53.1512,-28.21,99,99,1.45,RU,1707245756
